nama_makanan,kategori,kalori,protein,lemak,karbo,harga
Ikan Kembung Kemasan,Protein,191,17.0,16.0,1.4,75809
Ikan Tuna Organik,Protein,163,22.3,13.0,1.8,69693
Jus Hijau,Lainnya,78,3.3,0.2,10.0,8492
Melon Rendah Lemak,Buah,34,0.8,0.1,29.2,39721
Anggur Premium,Lainnya,58,2.4,0.9,20.2,15744
Beras Tinggi Protein,Karbohidrat,346,7.9,0.5,79.5,16469
Daging Ayam Organik,Protein,141,18.9,15.2,2.0,118468
Mete Segar,Lainnya,467,20.3,32.1,17.6,81479
Mentimun Import,Lainnya,19,4.1,0.9,9.1,31759
Daging Kambing Kemasan,Protein,246,24.3,18.3,1.8,68192
Almond Pilihan,Lainnya,302,33.2,13.8,47.0,24759
Jus Manis,Lainnya,23,0.3,2.5,8.0,12644
Daging Kerbau Super,Protein,275,23.8,18.8,3.7,147539
Tomat Pedas,Lainnya,45,2.5,0.6,6.3,6035
Mete Merah,Lainnya,455,15.0,32.9,24.7,74528
Teh Curah,Lainnya,94,2.2,4.0,21.9,12999
Daging Kambing Pilihan,Protein,195,27.9,17.1,2.6,146655
Susu Asin,Lainnya,86,6.0,4.4,3.1,36576
Mangga Hitam,Lainnya,101,2.6,0.7,15.1,32170
Jus Organik,Lainnya,72,6.7,7.3,4.0,26143
Daging Kerbau Curah,Protein,253,29.3,12.2,3.0,78236
Sawi Organik,Lainnya,51,3.6,0.3,11.6,9156
Kedelai Manis,Lainnya,388,24.5,41.7,25.3,46785
Ikan Tuna Organik,Protein,189,27.1,3.4,0.2,31911
Jus Tinggi Protein,Lainnya,30,7.4,7.7,7.4,19472
Ketan Merah,Lainnya,356,6.7,2.7,80.3,13350
Kubis Manis,Lainnya,28,3.3,0.2,4.9,25973
Mete Beku,Lainnya,385,17.7,24.7,21.4,85932
Anggur Putih,Lainnya,37,1.6,2.0,14.3,19229
Kubis Import,Lainnya,21,3.6,0.3,8.4,21119
Teh Premium,Lainnya,89,6.6,3.5,26.7,25415
Ketan Organik,Lainnya,363,6.1,1.6,80.4,15747
Kacang Hijau Curah,Lainnya,506,29.1,19.8,10.8,89739
Ikan Kembung Putih,Protein,173,19.4,1.8,0.4,114702
Mentimun Manis,Lainnya,60,3.8,0.7,10.3,6543
Ikan Lele Rendah Lemak,Protein,214,18.4,7.2,0.6,101493
Tahu Pedas,Protein,236,11.6,4.1,22.7,75272
Daging Kerbau Manis,Protein,286,25.9,6.4,4.4,147618
Nasi Asin,Karbohidrat,359,6.1,0.9,75.9,15347
Nugget Super,Lainnya,437,15.2,10.7,44.7,34230
Kopi Hijau,Lainnya,103,2.0,4.2,14.1,36474
Melon Segar,Buah,116,1.6,0.5,16.5,30511
Tahu Hijau,Protein,154,12.3,24.9,13.0,22662
Semangka Pedas,Lainnya,36,0.1,0.5,26.3,46546
Daging Ayam Putih,Protein,163,19.3,13.7,4.9,94798
Kangkung Merah,Sayur,60,3.1,0.4,11.0,12779
Kacang Tanah Pedas,Lainnya,577,34.6,16.1,44.1,67745
Tomat Super,Lainnya,44,3.8,0.7,9.6,8879
Jus Pedas,Lainnya,43,3.3,4.9,3.6,16206
Daging Kerbau Pedas,Protein,269,25.9,6.1,1.7,67318
Daging Kerbau Organik,Protein,135,27.9,11.3,4.5,94434
Daging Kerbau Super,Protein,124,29.7,5.1,3.0,175819
Susu Merah,Lainnya,17,2.6,0.1,26.4,14718
Wortel Kemasan,Sayur,50,1.9,0.3,10.0,21789
Pisang Organik,Buah,57,0.9,1.1,19.2,17634
Daging Sapi Manis,Protein,265,22.8,18.2,2.6,112610
Susu Super,Lainnya,75,3.1,0.2,24.9,28206
Ikan Tongkol Merah,Protein,120,25.2,4.9,1.4,50515
Mentimun Import,Lainnya,15,4.4,0.6,11.8,17174
Ikan Tongkol Beku,Protein,148,20.7,1.7,2.7,87197
Tomat Premium,Lainnya,29,3.3,0.1,3.3,6755
Nasi Organik,Karbohidrat,358,6.7,1.9,77.7,12450
Pepaya Super,Buah,54,2.2,1.3,19.2,27752
Ketan Asin,Lainnya,349,7.7,0.8,81.5,14706
Jeruk Asin,Lainnya,120,1.7,0.9,23.3,17746
Brokoli Hijau,Sayur,60,4.2,0.9,9.3,9604
Pepaya Pedas,Buah,38,3.0,1.3,29.2,33590
Kangkung Beku,Sayur,29,5.0,0.5,5.6,20151
Beras Hijau,Karbohidrat,346,6.5,2.4,77.3,20076
Jeruk Putih,Lainnya,71,0.3,0.8,28.6,58397
Wortel Putih,Sayur,20,4.1,0.3,4.4,27580
Ketan Super,Lainnya,349,7.2,1.7,75.4,21595
Kedelai Hijau,Lainnya,426,34.0,24.5,36.3,81305
Kopi Super,Lainnya,101,2.2,1.3,22.5,23957
Susu Hitam,Lainnya,146,1.5,4.7,3.9,20905
Mete Import,Lainnya,417,27.7,34.1,37.1,69790
Tomat Manis,Lainnya,50,4.6,0.4,10.2,25365
Sosis Beku,Lainnya,286,11.8,8.3,49.4,55293
Teh Rendah Lemak,Lainnya,137,3.4,0.2,5.2,17864
Daging Kambing Curah,Protein,210,23.3,7.7,1.6,88948
Mentimun Asin,Lainnya,40,4.3,0.1,6.5,11763
Daging Kambing Segar,Protein,296,21.1,16.7,0.1,124472
Ketan Kemasan,Lainnya,349,6.1,1.5,79.0,17477
Kacang Tanah Organik,Lainnya,404,18.2,38.5,36.8,26771
Teh Merah,Lainnya,49,4.6,3.8,15.0,23589
Kubis Hitam,Lainnya,19,3.5,0.2,6.3,20483
Mie Organik,Lainnya,102,8.5,11.8,57.9,11335
Kangkung Premium,Sayur,57,2.4,0.6,4.9,34158
Daging Kambing Putih,Protein,169,22.5,19.4,0.9,139126
Semangka Manis,Lainnya,33,1.0,1.5,8.6,12505
Mie Super,Lainnya,126,14.4,16.7,17.2,19708
Tempe Premium,Protein,255,12.8,5.1,47.7,39268
Nasi Kemasan,Karbohidrat,368,8.4,1.4,76.6,14115
Ikan Tuna Putih,Protein,148,16.6,17.2,0.8,113391
Ikan Tuna Import,Protein,108,27.4,14.1,0.4,98332
Wortel Pedas,Sayur,56,4.0,0.7,5.6,8826
Kacang Hijau Pilihan,Lainnya,412,22.1,19.1,31.4,32178
Tahu Manis,Protein,375,11.8,24.3,47.5,67036
Daging Ayam Kemasan,Protein,188,26.9,6.0,0.6,129236
Ketan Segar,Lainnya,347,7.8,1.7,76.8,17094
Kacang Tanah Kemasan,Lainnya,415,15.3,33.2,16.9,62377
Almond Premium,Lainnya,598,33.1,27.4,17.4,45759
Daging Sapi Premium,Protein,191,29.0,14.1,1.9,132439
Kubis Asin,Lainnya,42,1.1,0.0,5.4,29347
Wortel Hitam,Sayur,58,3.0,1.0,3.5,21282
Ketan Hijau,Lainnya,376,7.8,0.7,76.5,17117
Apel Pedas,Buah,83,2.0,0.5,25.2,40834
Mangga Kemasan,Lainnya,105,0.7,1.7,24.9,9904
Roti Curah,Lainnya,313,3.3,15.3,38.1,37865
Beras Pilihan,Karbohidrat,364,6.4,2.9,76.0,17726
Tahu Putih,Protein,138,15.0,21.5,40.5,45317
Nasi Beku,Karbohidrat,341,6.3,1.2,78.1,12411
Daging Kerbau Tinggi Protein,Protein,201,21.8,19.6,3.4,172963
Tahu Lokal,Protein,133,8.5,17.2,19.6,26787
Pisang Tinggi Protein,Buah,118,2.9,1.3,12.3,55937
Daging Kerbau Pilihan,Protein,292,18.6,11.3,4.1,138737
Semangka Asin,Lainnya,66,2.7,1.8,23.0,8027
Kedelai Curah,Lainnya,454,31.6,33.6,48.1,80836
Anggur Beku,Lainnya,79,2.2,1.7,23.9,56079
Ikan Lele Rendah Lemak,Protein,230,26.6,17.7,1.1,75408
Mete Rendah Lemak,Lainnya,480,26.3,21.4,42.3,23165
Kacang Hijau Pedas,Lainnya,370,23.0,26.4,22.3,57155
Almond Pedas,Lainnya,527,21.1,35.9,34.2,60626
Tempe Pilihan,Protein,380,11.0,8.8,41.6,93634
Brokoli Rendah Lemak,Sayur,47,1.6,0.9,11.4,30085
Daging Kerbau Hitam,Protein,263,18.9,8.2,1.0,53967
Ketan Putih,Lainnya,356,9.0,0.3,79.2,19432
Kedelai Segar,Lainnya,340,23.9,24.9,18.5,26385
Melon Putih,Buah,68,0.2,1.4,26.1,40324
Susu Hijau,Lainnya,61,2.4,5.4,7.1,23272
Anggur Lokal,Lainnya,39,2.5,0.4,18.7,49867
Nugget Import,Lainnya,150,6.6,29.4,10.2,52422
Kacang Tanah Beku,Lainnya,477,25.0,18.0,37.8,15663
Ikan Tuna Organik,Protein,164,21.5,12.6,2.9,88974
Ikan Kembung Kemasan,Protein,168,24.9,12.6,2.4,65746
Ikan Tuna Beku,Protein,187,15.2,14.8,1.6,25103
Apel Import,Buah,78,0.6,1.6,23.7,51654
Pepaya Hitam,Buah,42,1.7,1.1,16.7,12558
Kopi Curah,Lainnya,57,1.1,2.2,26.1,35813
Ketan Hijau,Lainnya,359,6.2,2.0,77.2,18392
Wortel Segar,Sayur,16,4.6,0.1,5.8,12545
